req_id,direction,time
0,OUTBOUND,0.0
1,OUTBOUND,0.0
2,OUTBOUND,1.0
3,RETURN,1.0
4,RETURN,1.0
5,OUTBOUND,2.0
6,OUTBOUND,2.0
7,RETURN,2.0
8,OUTBOUND,3.0
9,RETURN,3.0
10,RETURN,3.0
11,RETURN,4.0
12,OUTBOUND,6.0
13,OUTBOUND,6.0
14,OUTBOUND,7.0
15,RETURN,7.0
16,RETURN,7.0
17,RETURN,8.0
18,OUTBOUND,13.0
19,OUTBOUND,13.0
20,OUTBOUND,14.0
21,RETURN,14.0
22,RETURN,14.0
23,OUTBOUND,15.0
24,OUTBOUND,15.0
25,RETURN,15.0
26,OUTBOUND,16.0
27,RETURN,16.0
28,RETURN,16.0
29,RETURN,17.0
30,OUTBOUND,19.0
31,OUTBOUND,19.0
32,OUTBOUND,20.0
33,RETURN,20.0
34,RETURN,20.0
35,RETURN,21.0
